DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
115MM;MONTAUBAN-MORILLONS-LIND;100;01/12/1955;Montauban (rue de) 1/2;75015;PARIS;SO;33;3;2018;2 caissons sanitaires P3R2018;;;;;;33;;;;;3;;;;;"SD: 16 Themafast condens
16 Isotwin condens 
1 ODEALIS ELM
";;;;2018;"Chaudière individuelle haute performance énergétique

Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel";"16/04/2018

19/11/2020";"1-2 RUE MONTAUBAN

23 rue Robert-Lindet";Réhabilitation d’un poste de livraison de chaleur d’un bâtiment résidentiel;19/11/2020;23 rue Robert-Lindet;
115VA;VAUGIRARD 226           ;39;01/01/2009;Vaugirard (rue de) 226;75015;PARIS;SO;39;6;2008;;;;;39;;;;;;;;;;;6;;;;;;;;;;;;
115VG;VAUGIRARD 383-385       ;7;20/12/2013;Vaugirard ( rue de ) n° 383/385;75015;PARIS;SO;7;1;2014;;;7;;;;;;;;;1;;;;;;;;;;;;;;;;
116DL;DURET-LE SUEUR          ;33;01/01/1880;Duret (36-38 rue) 25 rue Lesueur;75016;PARIS;SO;29;0;2020;;;;;;10;19;;;;;;;;;;MEGALIA CONDENS ;;;;2020;;;;;;;
116DU;DUBAN 16;10;01/01/1885;16 rue Duban;75016;PARIS;SO;4;0;2020;;;;;;;4;;;;;;;;;;;;;;;;;;;;;
116LO;Lonchamp;40;01/01/1901;77rue lonchamp;75016;PARIS;SO;10;0;2019;;;10;;;;;;;;;;;;;;;;;;Réha 2019;;;;;;;
116LU;LUBECK 24               ;44;01/01/1880;Lubeck (rue) 24;75016;PARIS;SO;32;1;2019;;;1;;;6;25;;;;;1;;;;;31 MEGALIS CONDENS ET 1 ELEXIA FF BT ;;;;2019;Fenêtre ou porte-fenêtre complète avec vitrage isolant;27/12/2016;24 RUE DE LUBECK;;;;
116M3;MURAT123bis             ;10;19/03/2013;Gudin ( rue  ) n° 1;75016;PARIS;SO;10;1;2014;;;;;;10;;;;;;1;;;;;;;;;;;;;;;;
116MO;MOZART;27;01/01/1932;Mozart (avenue) 54bis;75016;PARIS;SO;11;2;2020;;;;;;4;7;;;0;;2;;;;;MEGALIA CONDENS ;;;;2020;;;;;;;
116PA;PASSY 60/62             ;29;01/01/1870;Passy ( rue de ) n° 60/62;75016;PARIS;SO;29;1;2014;;;;;;29;;;;;;1;;;;;;;;;;;;;;;;
116PS;PIERRE 1ER DE SERBIE 9  ;17;01/01/1840;Pierre 1er de Serbie ( rue) 9/11;75016;PARIS;SO;13;1;2020;;;;;;;13;;;;;1;;;;;MEGALIA CONDENS ;;;;2020;;;;;;;
116TE;CLAUDE TERRASSE 11Bis   ;12;01/05/2013;Claude Terrasse ( rue  ) n° 11BIS;75016;PARIS;SO;8;1;2014;;;;;;8;;;;;;1;;;;;;;;;;;;;;;;
214LI;LIARD-CITE UNIVERSITAIRE;60;01/01/1923;Liard (rue) 5;75014;PARIS;SO;58;0;2019;;;;;;58;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/12/2019;;;;;
214RE;REILLE 17               ;20;01/01/1921;Reille (17);75014;PARIS;SO;21;5;2005;;;;;;;21;;;;;5;;;;;;;;;2021;;;;;;;
216MF;MURAT 183-FANTIN LATOU  ;220;21/10/1926;Fantin Latour (rue) 15/17;75016;PARIS;SO;18;0;2014;;;18;;;;;;;;;;;;;;;;;;;Fenêtre ou porte-fenêtre complète avec vitrage isolant;30/12/2014;183 bd Murat / 19 rue Fantin Latour;;;;
115E5;EGLISE 15/17            ;18;15/11/2004;Eglise (rue de l') 15/17;75015;PARIS;SO;18;2;2019;;;1;;;;13;4;;;;1;;;;1;NIGARA GREEN - MIRA GRENN - NIAGARA 23FF ;;;;2019;Chaudière individuelle haute performance énergétique;08/11/2019;1517 rue de l'Eglise;;;;
114DB;DIDOT-BOUCHOR           ;527;01/01/1931;2/8 Pte Didot1/7/2/8 M Bouchor 36/42 Brune, Col Monteil, P Leroy;75014;PARIS;SO;517;0;2016;;402;;;;;115;;;;;;;;;;;;;;2016;;;;;;;
114GL;GEORGES LAFENESTRE 3/11 ;452;01/01/1928;Georges Lafenestre (avenue) 3;75014;PARIS;SO;398;30;2021;;;4;;;;387;;;7;;30;;;;;;;;;2021;;;;;;;
115B7;BALARD 72/80            ;90;01/05/1989;Balard (rue) 74/80;75015;PARIS;SO;90;4;2018;3 caissons gaz P3R2018;;;90;;;;;;;;;;;4;;"MIRA C VMC 
NIAGARA C VMC ";;;;2018;;;;;;;
115BD;BALARD 104;17;01/01/1898;Balard (rue) 104;75015;PARIS;SO;17;3;2015;;;;;;;;17;;;;;;;;3;INITIA - CHAPPEE;;;;;;;;;;;
115BL;BLOMET 77               ;14;01/01/1910;Blomet ( rue  ) n° 77;75015;PARIS;SO;7;0;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;
115C6;CONVENTION 60;27;01/01/1909;Convention (rue) n°60;75015;PARIS;SO;18;1;;;;;;;;13;5;;;;;;;;1;;;;;;;;;;;;
115CM;COMMERCE 46;10;01/01/1840;Commerce (rue) n°46;75015;PARIS;SO;10;0;;;;10;;;;;;;;;;;;;;;;;;2023;;;;;;;
115CO;COTENTIN 27/33          ;87;01/03/1986;Cotentin (rue du) 27/33;75015;PARIS;SO;87;3;2014;;;26;61;;;;;;;;;;;3;;;;;;;"Isolation des toitures terrasses
Chaudière individuelle basse température";"18/12/2013
10/06/2014";27/33 rue Cotentin;;;;
115D4;DESNOUETTES 43 Bis        ;12;02/03/2012;Desnouettes ( rue  ) n° 43BIS;75015;PARIS;SO;12;4;2012;;;;;;;;12;;;;1;;;;3;;;;;;;;;;;;
115F5;FALGUIERE 59            ;46;01/01/1890;Falguière (rue) 59;75015;PARIS;SO;31;5;2020;;;;;;2;29;;;;;1;4;;;;CHAFFOTEAUX ET MAURY MIRA C GREEN ULTRA;;;;2020;;;;;;;
115GA;GARIBALDI 33;21;01/01/1910;Garibaldi (rue) n°33;75015;PARIS;SO;11;0;2013;;;;;;;11;;;;;;;;;;;;;;;;;;;;;
115GR;GROULT 116;6;01/01/1914;116 rue de l'Abbé Groult;75015;PARIS;SO;;;;;;;;;;6;;;;;1;;;;;INITIA +  HTE CHAUDIÈRE murale de la marque CHAPPEE;;;;;;;;;;;
115L2;LECOURBE 278            ;12;26/04/2011;Lecourbe ( rue  ) n° 278;75015;PARIS;SO;12;1;;;;9;;;;;;;3;;1;;;;;;;;;;;;;;;;
115L3;LECOURBE 308            ;50;15/01/1984;Lecourbe (rue) 308;75015;PARIS;SO;50;2;2014;;;;50;;;;;;;;;;;2;;;;;;;"Chaudière individuelle basse température
Fenêtre ou porte-fenêtre complète avec vitrage isolant";"14/05/2014
23/08/2016";308 rue Lecourbe;;;;
115L4;LOURMEL 14              ;11;19/07/2006;Lourmel (14 rue de);75015;PARIS;SO;11;1;2021;;;;4;;;7;;;;;;;;1;;;;;;2021;;;;;;;
115LM;LEONTINE 6/14-MERCIER-MY;80;01/01/1988;Sébastien Mercier (rue) 24/28 - Clément Myonnet (rue) - 11 Léontine (rue) 6;75015;PARIS;SO;80;4;2012;;;;80;;;;;;;;;;;4;;;;;;;;;;;;;
115MO;MONTPARNASSE 32         ;36;01/01/1886;Montparnasse (Bld du) 32;75015;PARIS;SO;13;0;2009;;13;;;;;;;;;;;;;;;;;;;;;;;;;;
115PC;PIC DE BARRETTE 2/6-CAUC;84;01/07/1990;Pic de la Barrette (rue du) 4/6/8;75015;PARIS;SO;84;4;;;3;;81;;;;;;;;;;;4;;;;;;;;;;;;;
115Q5;QUINTINIE 13/15         ;20;01/09/1989;Quintinie (rue la) 15;75015;PARIS;SO;20;1;2019;;;1;;;;19;;;;;1;;;;;MEGALIS CONDENS -THEMAPLUS CONDENS ;;;;2019;;;;;;;
115SC;SAINT CHARLES 101       ;55;01/03/1990;Saint Charles (rue) 101/101bis;75015;PARIS;SO;55;4;2013;;;2;53;;;;;;;;;;;4;;;;;;;Isolation des toitures terrasses;18/12/2013;101 rue Saint Charles;;;;
115SM;MERCIER45               ;13;01/01/1920;Sébastien Mercier 45;75015;PARIS;SO;12;1;2008;;;12;;;;;;;;;1;;;;;;;;;2023;;;;;;;
115VD;VAUGIRARD 165;15;30/11/2016;165/A rue de Vaugirard;75015;PARIS;SO;15;1;;;;;;;;1;14;;;;1;;;;3;;;;;;;;;;;;
115VO;VOLONTAIRES;24;14/09/2021;33 rue des Volontaires;75015;PARIS;SO;19;0;NC;;19;;;;;;;;;;;;;;;;;;;;;;;;;;
214RL;RAYMOND LOSSERAND 156   ;324;01/01/1928;Raymond Losserand (rue) 156;75014;PARIS;SO;320;17;"2016
DDR 2030";;;25;;;;295;;;;;17;;;;;;;;;2016;;;;;;;
215P1;QUATRE FRERES PEIGNOT 7 ;132;01/02/1927;Quatre frères Peignot (rue des) 13;75015;PARIS;SO;129;0;2019;;129;;;;;;;;;;;;;;;ACLEA BAS NOX CF ;;;;2019;;;;;;;
215P2;QUATRE FRERES PEIGNOT 8 ;158;01/02/1927;Quatre frères Peignot (rue des) 14;75015;PARIS;SO;148;0;2015;;148;;;;;;;;;;;;;;;;;;;;;;;;;;
215P3;PEIGNOT PALULOS;134;01/02/1927;Frères peignot (rue);75015;PARIS;SO;126;0;2014;;126;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;12/06/2014;20/22 rue des Quatre Frères Peignot;;;;
215P4;QUATRE FRERES PEIGNOT 17;188;01/02/1927;Quatre frères Peignot (rue des) 21;75015;PARIS;SO;182;0;2014;;79;103;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;30/09/2014;17/21 rue des Quatre Frères Peignot;;;;
215TH;THEATRE 96/98           ;82;01/02/1927;Théâtre (rue du) 98;75015;PARIS;SO;78;0;2014;;78;;;;;;;;;;;;;;;;;;;;Chaudière individuelle basse température;30/09/2014;96/98 rue du Théâtre;;;;
119AR;"   ARDENNES 6 
 
 ";19;01/01/2002;6 rue des Ardennes;75019;PARIS;NE;20;5;2017;;;;;;;5;15;;;;2;;;;3;"SAUNIER DUVAL - Isotwin condens (2)
SAUNIER DUVAL - ThemaFast Condens (17)";;;;2017;Chaudière individuelle haute performance énergétique;17/11/2017;6 RUE DES ARDENNES;;;;
119B3;BOLERO 3-J.KOSMA 3/5;53;01/07/2001;3 Boléro 3/5 Joseph Kosma;75019;PARIS;NE;53;3;2018;"1 Caisson en 2017
1 caisson P3R2018";;;;;;53;;;;;3;;;;;"MIRA C GRENN
SERELIA C GRENN
NIAGARA C GRENN";;;;2018;Chaudière individuelle haute performance énergétique;14/09/2018;3 rue Bolero - 35 rue Joseph Kosma;;;;
119B4;BOIS 43;12;01/01/1850;43 rue des Bois;75019;PARIS;NE;12;1;2018;;;2;;;;9;;;1;;1;;;;;Mira C GREEN ultra 25;;;;2018;Chaudière individuelle haute performance énergétique;12/10/2018;43 bis rue des Bois;;;;
119CO;CRIMEE 230-OURCQ 115;20;01/06/1998;230 Crimée 115 Ourcq;75019;PARIS;NE;20;2;2013;;;20;;;;;;;;;2;;;;;;;;;;;;;;;;
119EP;EDGAR POE;32;01/01/1931;5/7 rue Edgar Poe;75019;PARIS;NE;1;0;pas d'info;;;;;;;;;;1;;;;;;;ELM ONDEA LM10 TIRAGE NATUREL ;;;;;;;;;;;
119HA;HAXO 120BIS/122;22;01/05/1952;120BIS/122 Haxo;75019;PARIS;NE;14;0;2010;;;14;;;;;;;;;;;;;;;;;;;;;;;;;
119HT;HENRI TUROT 7/15;145;01/04/1934;7/17 rue Henri Turot;75019;PARIS;NE;19;0;2011;;;;;;;;;;19;;;;;;;1 logement en elec;;;;;Chaudière à haute performance énergétique;15/11/2017;7 RUE HENRI TUROT;;;;
119IS;INDOCHINE-SERURIER-PTE B;1204;01/01/1934;"1/23 Indochine
94/124 Sérurier";75019;PARIS;NE;471;0;2021;;14;8;;;311;138;;;;;;;;;;Logt 249 en électrique;;OUI;;2021;"Calorifugeage réseau hydraulique de chauffage
Isolation d’un réseau hydraulique d’eau chaude sanitaire 
Calorifugeage réseau hydraulique de chauffage

REHABILITATION ET PLAN CLIMAT";"13/11/2017
24/11/2017
12/01/2018

15/03/2027";"12 AVENUE AMBROISE RENDU
2 rue de la Corrèze";;;;
119JC;JAURES-ARMAND CARREL;155;01/09/1930;"44/46 Jean Jaurès
54/60 Amard Carrel";75019;PARIS;NE;153;0;2019;;1;3;;;;149;;;;;;;;;;;;;;2019;;;;;;;
119LO;QUAI DE LA LOIRE 36/38;42;30/04/2003;36/38 quai de la Loire;75019;PARIS;NE;42;2;2019;;;;;;;42;;;;;2;;;;;MIRA GREEN - NIAGARA C GREEN ;;;;2019;;;;;;;
119M1;MEAUX 19;17;01/01/1850;19 rue de Meaux;75019;PARIS;NE;17;1;2017;;14;;;;;3;;;;;1;;;;;Inoa 25 CF EU et 3 Mira C Green 25 EU;;;;2017;Chaudière individuelle haute performance énergétique;20/10/2017;19 RUE DE MEAUX;;;;
119MM;MATHURIN MOREAU 49;24;01/05/1955;49 avenue Mathurin Moreau;75019;PARIS;NE;24;24;2017;;;;;;;24;;;;;;24;;;;Mira C Green 25 EU ;;;;2017;Chaudière individuelle haute performance énergétique;13/11/2017;49 AVENUE MATHURIN MOREAU;;;;
119MR;MARNE THIONVILLE;31;01/01/2002;42 quai de la Marne - 27 rue de Thionville ;75019;PARIS;NE;31;6;2017;;;;;;;;31;;;;2;;;;4;;;;;2017;Chaudière individuelle haute performance énergétique;13/11/2017;27 RUE THIONVILLE;;;;
119MS;MANIN-SERURIER;203;01/01/1957;"72/76 Manin 
143 Sérurier";75019;PARIS;NE;106;0;2020;;;;;;;;;;106;;;;;;;1 logement en elec;;;;2020;;;;;;;
119NA;NANTES 8BIS;10;03/01/2000;8 bis Nantes;75019;PARIS;NE;10;1;2017;1 Caisson en 2017;;2;;;;8;;;;;1;;;;;;;;;2017;Chaudière individuelle haute performance énergétique;13/11/2017;8BIS RUE DE NANTES;;;;
119OB;ORME-BOIS;9;27/02/1998;13 rue de l'Orme;75019;PARIS;NE;9;1;2009;;;9;;;;;;;;;1;;;;;;;;;2023;;;;;;;
119OO;OURCQ-OISE;356;01/02/1923;49/53 Ourcq 3/9 Oise;75019;PARIS;NE;352;31;2015-2016;;62;290;;;;;;;;;16;15;;;;"119 MEGALIA AGVC24-5MN/
58 PMC M 24/28 MI PLUS HR 118 (DE DIETRICH) (condens)/
25 THEMA F 25 E-B (BT ventouse)/
+ P3R 2015: 70 Themaplus  condens F25-A/
 15 Themaplus F25 E BS AR

";;;;2016;Chaudière individuelle haute performance énergétique;03/08/2017;49 RUE DE L'OURCQ;;;;
119OR;ORME 17;46;01/10/1955;17 rue de l'Orme;75019;PARIS;NE;45;4;2021;;;1;;;;44;;;;;4;;;;;;;;;2021;;;;;;;
119RO;ROMAINVILLE;20;01/01/1925;71 rue de Romainville;75019;PARIS;NE;20;2;2021;;;;;;;20;;;;;2;;;;;saunier duval thema plus;;;;;;;;;;;
119SA;SOLITAIRES-ANNELETS;81;01/07/1981;1/11 Annelets;75019;PARIS;NE;81;3;2013;;81;;;;;;;;;;3;;;;;;;;;;;;;;;;
119SU;SUD 2-PETIT 26/28;29;10/01/2000;"2 Sud 
26/28 Petit";75019;PARIS;NE;29;3;2014;;;29;;;;;;;;;3;;;;;;;;;;Chaudière individuelle basse température;11/07/2014;26 rue Petit / 2 passage du Sud;;;;
219BM;BOLIVAR-MOREAU-CHAUFOURNIER;474;01/12/1929;"97/99 S Bolivar 
25 Henri Turot";75019;PARIS;NE;475;;2004;;90;;;;;;;;;;;;;;;;;;;;Rénovation   globale   d’un    bâtiment   résidentiel (France métropolitaine);16/12/2022;20 bis avenue Mathurin Moreau Paris;;;;
219DU;CAROLUS DURAN 4;15;01/04/1923;4 rue Carolus Duran;75019;PARIS;NE;16;1;2013;;1;15;;;;;;;;;1;;;;;;;;;;;;;;;;
219PB;DR POTAIN-BOIS ;257;01/02/1927;27 Docteur Potain 16/18 Bois;75019;PARIS;NE;258;0;2005 - réha;;258;;;;;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/03/2025;;;;;
219SE;SERURIER-ALGERIE-ALPHONS;223;01/09/1932;50/52 Sérurier 7/9 Algérie;75019;PARIS;NE;221;0;2020;;221;;;;;;;;;;;;;;;;;;;2020;;;;;;;
1183F;TROIS FRERES 22;13;01/01/1890;22 rue des Frères;75018;PARIS;NO;13;2;2014;;0;0;0;0;0;13;0;0;0;0;2;;0;0;0;0;;;;;;;;;;;
118BB;BARBES 80               ;20;01/01/1900;Barbès ( boulevard  ) n° 80;75018;PARIS;NO;17;1;2021;;0;1;0;0;0;16;0;0;0;0;1;;0;0;0;"ELM Leblanc - Melia I condens
2 ballons électriques sur le groupe logements 18 et 19";;;;2021;;;;;;;
118CE;CHAPELLE 81/83;24;01/01/1850;81/83 rue de la Chapelle;75018;PARIS;NO;24;2;2006;;0;24;0;0;0;0;0;0;0;0;2;;0;0;0;0;;;;;;;;;;;
118CL;CLIGNANCOURT-FERNAND LAB;418;01/01/1927;1/15 Pte de Clignancourt;75018;PARIS;NO;405;25;2015;;0;332;0;0;0;73;0;0;0;0;25;;0;0;0;"- INOA 25 FF NAT V avant 05/2012
- INOA EVO 25 FF FR BE
- AGVAC24-5MN 
- MEGALIA CONDENS";;;;;Chaudière individuelle haute performance énergétique;15/09/2015;1 avenue de la porte de Clignancourt;;;;
118CN;CUSTINE 52;39;01/01/1903;52 rue Custine;75018;PARIS;NO;15;1;2017;;0;0;0;0;0;15;0;0;0;0;1;;0;0;0;0;;;;;;;;;;;
118CR;CLIGNACOURT 83;14;01/01/1890;83 rue Clignancourt;75018;PARIS;NO;14;1;2017 sauf 2;;2;0;0;0;0;12;0;0;0;0;1;;0;0;0;0;;;;;;;;;;;
118CS;CUSTINE 25;25;01/01/1900;25 rue Custine;75018;PARIS;NO;25;3;2021;;0;1;0;0;0;18;6;0;0;0;2;;0;0;1;ELM Leblanc - Melia I condens;;;;2021;;;;;;;
118CT;CLIGNANCOURT 143;25;01/01/1900;143 rue de Clignancourt;75018;PARIS;NO;35;4;2022;;0;1;0;0;5;29;0;0;0;0;4;;0;0;0;0;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;31/05/2022;143 rue de Clignancourt;;;;
118FE;FEUTRIER24;19;02/05/2014;24 rue Feutrier;75018;PARIS;NO;19;1;2014;;0;0;0;0;0;19;0;0;0;0;1;;0;0;0;0;;;;;;;;;;;
118LC;LEIBNIZ 72-CHARLES ALBER;8;01/04/1999;72 Leibniz;75018;PARIS;NO;8;1;2012;;0;8;0;0;0;0;0;0;0;0;1;;0;0;0;0;;;;;;;;;;;
118MH;MYRHA45 GARDES31;5;06/05/2004;45 Rue Myrha / 31 Rue des Gardes;75018;PARIS;NO;5;1;2017;;0;0;0;0;0;5;0;0;0;0;1;;0;0;0;0;;;;2017;Chaudière individuelle haute performance énergétique;24/11/2017;45 RUE MYRHA - 31 RUE DES GARDES;;;;
118NE;NEY 149;10;01/06/1999;149 Boulevard Ney;75018;PARIS;NO;10;1;2012;;0;10;0;0;0;0;0;0;0;0;1;;0;0;0;0;;;;2023;;;;;;;
118P3;POULET 26;22;01/01/1860;26 rue Poulet;75018;PARIS;NO;15;1;2022;;0;0;0;0;0;15;0;0;0;0;1;;0;0;0;ELM LEBLANC MELIA I CONDENS;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;13/06/2022;26 RUE POULET;;;;
118P4;POULET 28;18;01/01/1860;28 rue Poulet;75018;PARIS;NO;16;4;2021;;0;0;0;0;0;12;4;0;0;0;3;;0;0;1;Elm Leblanc - Egalis ballon (11) Melia i condens (5);;;;2021;;;;;;;
118PS;POISSONNIERS;13;01/01/1954;139 rue des Poissonniers;75018;PARIS;NO;12;1;2011;;0;0;0;0;0;12;0;0;0;0;1;;0;0;0;THEMAPLUS CONDENS F24/30E NAT V;;;;;;;;;;;
118SM;SEMBAT-PORTE MONTMARTRE;366;01/01/1926;1/3 Marcel Sembat 140/142 Ney;75018;PARIS;NO;359;3;2018;;35;12;0;0;0;312;0;0;0;0;3;;0;0;0;"THEMAFAST CONDENS F25
ISOTWIN
CONDENS 
F25
THEMA
CLASSIC 
V25
NEXIA24FF";;;;2018;Chaudière individuelle haute performance énergétique;18/12/2018;13 rue Marcel Sembat- 212 porte Montmartre;;;;
118SN;SIMPLON 20;20;01/01/1890;20 rue du Simplon;75018;PARIS;NO;19;1;2020;;0;0;0;0;0;0;19;0;0;0;1;;0;0;0;0;;;;;;;;;;;
192CT;LEON SCHWARTZENBERG;58;07/01/2013;12/14 rue Trouillet;92110;CLICHY;TM;11;1;2014;;0;0;0;0;0;11;0;0;0;0;1;;0;0;0;0;;;;;;;;;;;
192CT;LEON SCHWARTZENBERG;58;07/01/2013;12/14 rue Trouillet;92110;CLICHY;TM;11;2;2014;;0;0;0;0;0;11;0;0;0;0;2;;0;0;0;0;;;;;;;;;;;
193PE;PIERREFITTE             ;1;01/01/1962;24 Rue Charles Perrin;93380;PIERREFITTE;TM;1;0;2020;;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;
193SJ;ST DENIS:JULES VEDRINES;141;05/10/2000;1/3/5 Rue Jules Védrine / 58/60/62 Rue Lénine;93200;SAINT DENIS;TM;141;9;2020;;0;1;0;0;0;140;0;0;0;0;9;;0;0;0;NIAGARA C GREEN - MIRA C GREEN - ;;;;2020;;;;;;;
218AH;AMIRAUX-HERMANN LACHAPEL;80;01/01/1922;"13 Amiraux 
4 Hermann Lachapelle";75018;PARIS;NO;77;0;2019;;77;0;0;0;0;0;0;0;0;0;0;;0;0;0;ACLEA BAS NOX CF ;;;;2019;;;;;;;
218DU;DUC-MT CENIS;33;05/01/2015;2/6 rue Duc;75018;PARIS;NO;31;0;2017;;31;0;0;0;0;0;0;0;0;0;0;;0;0;0;MEGALIA CF (ELM);;;;2017;;;;;;;
218MA;MARCADET 245/251;469;01/01/1924;245/251 Marcadet;75018;PARIS;NO;459;0;2006 - 2009;;349;110;0;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;REHABILITATION ET PLAN CLIMAT;14/01/2024;;;;;
118E4;EMILE DUPLOYE 4/10;21;01/03/2009;4/10 rue Emile Duployé;75018;PARIS;NO;18;;2009;;0;18;0;0;0;0;0;0;0;0;3;;;0;0;0;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;02/05/2023;4 rue Emile Duploye;;;;
1181P;POLONCEAU;25;01/01/1850;11-13 POLONCEAU;75018;PARIS;NO;25;;2015;;0;0;25;0;0;0;0;0;0;0;0;;;3;0;0;;;;;;;;;;;
1183P;POLONCEAU 33/37;26;01/02/1991;33/37 Polonceau;75018;PARIS;NO;26;;2014;;0;26;0;0;0;0;0;0;0;0;1;;;0;0;0;;;;;"Isolation des toitures terrasses
Chaudière individuelle basse température";"17/06/2014
16/05/2014";33/37 RUE POLONCEAU;;;;
118AF;AFFRE 19;7;01/05/2009;19 rue Affre;75018;PARIS;NO;5;;2008;;0;0;0;0;0;5;0;0;0;0;1;;;0;0;0;;;;2023;;;;;;;
118AP;CHAPELLE 100;9;01/01/1870;100 bd de la Chapelle;75018;PARIS;NO;7;;2014;;0;0;0;0;0;7;0;0;0;0;1;;;0;0;0;;;;;;;;;;;
118BP;EMILE BLEMONT-POTEAU;305;01/01/1933;1/7 2/10 Emile Blémont;75018;PARIS;NO;304;;2017;;1;5;0;0;0;298;0;0;0;0;19;;;0;0;0;;;;2017;Chaudière individuelle haute performance énergétique;31/12/2016;1-7 ET 2-10 RUE EMILE BLEMONT;;;;
118C0;CHAPELLE 94 CHARBONNIERE;18;30/09/2002;96 bld de la Chapelle;75018;PARIS;NO;18;;2017;;0;18;0;0;0;0;0;0;0;0;2;;;0;0;0;;;;2017;Chaudière individuelle haute performance énergétique;19/12/2016;96 BD DE LA CHAPELLE / 35 RUE DE LA CHARBONNIERE;;;;
118C8;CHARTRES 8;6;01/01/1850;8 Chartres;75018;PARIS;NO;6;;2012;;0;6;0;0;0;0;0;0;0;0;1;;;0;0;0;;;;;;;;;;;
118CC;CHARBONNIERE-CHARTRES-CH;109;01/04/1991;3/7 Charbonnière 2/4 Chartres 21 Jessaint;75018;PARIS;NO;109;;2014;;0;80;29;0;0;0;0;0;0;0;0;;;5;0;0;;;;;Chaudière individuelle basse température;11/07/2014;3/7 rue Charbonnière / 2/4 rue de Chartres / 21 rue de Jessaint;;;;
118CG;CHAPELLE 104/106-GOUTTE;38;03/09/1998;104/106 Chapelle;75018;PARIS;NO;38;;2012;;0;1;37;0;0;0;0;0;0;0;0;;;2;0;0;;;;;Chaudière à haute performance énergétique;29/10/2018;53 rue de la Goutte d'Or;;;;
118CH;CHAPELLE 86-CHARBONNIERE;12;17/07/1998;25 Charbonnière;75018;PARIS;NO;12;;2017;;0;0;0;0;0;12;0;0;0;0;1;;;0;0;0;;;;2017;;;;;;;
118CP;CHAPELLE 90 CHARBONNIERE;6;30/06/2002;90 bld de la Chapelle;75018;PARIS;NO;6;;2016;;0;2;0;0;0;4;0;0;0;0;1;;;0;0;"3 TALIA GREEN SYSTÈME et 
1 MIRA C GREEN";;;;2016;Chaudière individuelle haute performance énergétique;15/12/2016;29 rue de la Charbonniere;;;;
118EB;EMILE DUPLOYE 15/17;7;01/01/2012;15/17 rue Emile Duployé;75018;PARIS;NO;6;;2009;;0;6;0;0;0;0;0;0;0;0;3;;;0;0;0;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;09/05/2023;15-17 rue Emile Duploye;;;;
118ED;EMILE DUPLOYE 14;8;17/09/2002;14 rue Emile Duployé;75018;PARIS;NO;8;;2016;;0;0;0;0;0;0;8;0;0;0;2;;;0;2;MEGALIA AGVC24-5MN et ODEALIS GVT C 24-2M sur 3CE multiplus;;;;2016;Chaudière individuelle haute performance énergétique;06/01/2017;14 RUE EMILE DUPLOYE;;;;
118EE;EMILE DUPLOYE 19/23;10;01/01/2012;19/23 rue Emile Duployé;75018;PARIS;NO;9;;2009;;0;9;0;0;0;0;0;0;0;0;3;;;0;0;0;;;;2023;Chaudière   individuelle   à    haute   performance énergétique;09/05/2023;19-23 rue Emile Duploye;;;;
118ER;ERNESTINE 6;8;01/04/2005;6 rue Ernestine;75018;PARIS;NO;8;;2009;;0;8;0;0;0;0;0;0;0;0;1;;;0;0;0;;;;2023;;;;;;;
