DONNEES PATRIMONIALES;;;;;;;;;;;;EQUIPEMENTS INDIVIDUELS GAZ;;;;;;;;;; EQUIPEMENTS COLLECTIFS ;;;;; Modèles des chaudières ; Radiateurs électriques ; Panneaux solaires photovoltaique ; Thermiques ;DONNEES TRAVAUX IMMEUBLE;;;;;;;
;;;;;;;;;;;;Chaudières standard ou Basse Température raccordées sur ;;;;Chaudières à condensation raccordées sur:;;;;Autres;;;;;;;;;;;;;;;;;;
HP2;Nom du groupe;Nombre de logements;Date de construction;Adresse;Code postal;Ville;DT;Nb d'équipements individuels gaz;Nb d'équipements collectifs;"Années (chaudières & chauffe-bains)
à titre indicatif";Années rempl des caissons;Conduit de fumées; Ventouse;DSC;3CE;Conduit tubé condens.;Ventouse;3CE;Solaire ventouse;"Chauffe-eau gaz / 
Chauffe bain gaz";Radiateur gaz; VMC Sanitaire ;" VMC individuelle /
Tourelles "; Astato mécanique ; VMC Gaz ; Conduit 3CE ;;;;;P3R;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;Travaux réalisés;Date d'achèvement travaux;Adresse de l'opération;
120BU;BUZENVAL 71/73;10;01/01/1930;71/73 Buzenval;75020;PARIS;ES;7;3;2020;;;0;;;;7;;;;;3;;;;;MEGALIA CONDENS ;;;;2020;;;;;;;
120BV;ST BLAISE 34/40-VITRUVE;26;01/01/1800;"34/40 Saint Blaise 
49 Vitruve";75020;PARIS;ES;26;1;2018;;25;;;;;1;;;;;;;1;;;"MEGALIA CF; 
MEGALIS CONDENS";;;;2018;;;;;;;
120DI;DIEU 1 - HAIES 101/103;9;30/09/2011;101/103 rue des Haies;75020;PARIS;ES;9;2;2011;;;;;;;9;;;;;2;;;;;DE DIETRICH - mcx;;;;;;;;;;;
120GA;GALLERON 3/5;13;01/09/1980;3/5 Galleron;75020;PARIS;ES;13;1;2012;;;13;;;;;;;;;1;;;;;ELM -MEGALIA;;;;;;;;;;;
120GC;GRANDS CHAMPS 55;38;01/07/1955;55 rue des Grands Champs;75020;PARIS;ES;38;2;2011;;;38;;;;;;;;;2;;;;;;;;;;;;;;;;
120H2;HAIES 76/78;26;30/06/2005;76/78 rue des Haies;75020;PARIS;ES;26;2;2020;;;0;;;5;17;4;;;;2;;;;1;NIAGARA C GREEN - MIRA C GREEN - ;;;;2020;;;;;;;
120H8;HAIES 81;47;11/02/2008;"81/91 rue des Haies
2/4 passage Savart";75020;PARIS;ES;94;11;2008 date d'imm;;;47;;;;47;;;;;11;;;;;Chaff- plrs models;;;;2022;Chaudière   individuelle   à    haute   performance énergétique;12/10/2022;81-91 rue des Haies 24 Passage Savart;;;;
120HS;HAIES 79 - SAVART 3/15 8/10;18;01/01/1850;8/10 passage Savart;75020;PARIS;ES;18;18;2010;;;18;;;;;;;;;;17;;;;;;;;;;;;;;;
120MA;MARAICHERS 26/28;49;01/09/1949;26/28 rue des Maraîchers;75020;PARIS;ES;45;0;2008;;;45;;;;;;;;;;;;;;;;;;2023;;;;;;;
120O4;ORTEAUX 43;4;01/01/1850;43 rue des Orteaux;75020;PARIS;ES;3;3;2008;;;3;;;;;;;;;3;;;;;;;;;;;;;;;;
120OX;ORTEAUX 45C;5 (Ateliers d'artiste);31/05/2017;45C rue des Orteaux;75020;PARIS;ES;5;3;;;;;;;;;5;;;;1;;;;2;SD Thema AS condens F25;;;;;;;;;;;
120PM;PTE DE MONTREUIL;457;01/07/1934;"2/12 Schubert 
5 Paganini";75020;PARIS;ES;456;0;2001 - plan climat 2019;;456;;;;;;;;;;;;;;;;;;;;REHABILITATION ET PLAN CLIMAT;15/03/2028;;;;;
120R7;REUNION 71/73;8;01/01/1850;71/73 place de la Réunion;75020;PARIS;ES;8;1;2015;;;8;;;;;;;;;1;;;;;;;;;;Chaudière individuelle haute performance énergétique;21/05/2015;71 place de la Réunion;;;;
120V2;VOLGA 26/30;34;01/05/1989;"26/30 Volga
58 Maraîchers";75020;PARIS;ES;34;2;2018;;;5;;;;29;;;;;2;;;;;"Niagara C Green 25 EU 
Mira C Green ultra 25";;;;2018;Chaudière individuelle haute performance énergétique;12/10/2018;2630 rue Volga;;;;
120V3;VOLGA 32/34;10;01/01/1920;32/34 Volga;75020;PARIS;ES;10;0;2018;;10;;;;;;;;;;;;;;;Inoa 25 CF EU;;;;2018;;;;;;;
120V4;VOLGA 36/38;13;17/03/2000;36/38 Volga;75020;PARIS;ES;13;2;2013;;;13;;;;;;;;;2;;;;;;;;;;;;;;;;
